"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get price with empty contract address - Negative Test","102","getPriceWithEmptyContractAddress","Surefire suite","Mon Nov 24 10:03:26 IST 2025","passed","Mon Nov 24 10:03:26 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithEmptyContractAddress"
"Test transaction estimate with different chain ID","1741","testTransactionEstimateWithDifferentChainId","Surefire suite","Mon Nov 24 10:03:15 IST 2025","passed","Mon Nov 24 10:03:16 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithDifferentChainId"
"Test transaction estimate with string arguments","1081","testTransactionEstimateWithStringArgs","Surefire suite","Mon Nov 24 10:03:20 IST 2025","passed","Mon Nov 24 10:03:21 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithStringArgs"
"Send Transaction with 2 args","3349","deployContract","Surefire suite","Mon Nov 24 10:02:58 IST 2025","passed","Mon Nov 24 10:03:02 IST 2025","in.mai.yourproject.testsuite.backend.SendTransaction","Surefire test","in.mai.yourproject.testsuite.backend.SendTransaction","deployContract"
"Test get price performance with multiple concurrent requests","2058","getPricePerformanceTest","Surefire suite","Mon Nov 24 10:03:08 IST 2025","passed","Mon Nov 24 10:03:10 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPricePerformanceTest"
"Get price for valid contract address - Positive Test","443","getPriceWithValidContractAddress","Surefire suite","Mon Nov 24 10:03:25 IST 2025","passed","Mon Nov 24 10:03:26 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithValidContractAddress"
"Validate response time for get price API","449","validateGetPriceResponseTime","Surefire suite","Mon Nov 24 10:03:27 IST 2025","passed","Mon Nov 24 10:03:28 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","validateGetPriceResponseTime"
"Test get price with boundary values","561","getPriceWithBoundaryValues","Surefire suite","Mon Nov 24 10:03:08 IST 2025","failed","Mon Nov 24 10:03:08 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithBoundaryValues"
"Test transaction estimate with numeric arguments","1052","testTransactionEstimateWithNumericArgs","Surefire suite","Mon Nov 24 10:03:19 IST 2025","passed","Mon Nov 24 10:03:20 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithNumericArgs"
"Test transaction estimate with custom RPC URL","1066","testTransactionEstimateWithCustomRpcUrl","Surefire suite","Mon Nov 24 10:03:17 IST 2025","passed","Mon Nov 24 10:03:18 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithCustomRpcUrl"
